competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
Spain - La Liga,2017/2018,9682,16:15:00.000,Barcelona,3,0,Regular Season,3,1,1,0,1,0,0,1,2,0,0
Spain - La Liga,2017/2018,9682,16:15:00.000,Leganés,0,3,Regular Season,-3,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9695,20:45:00.000,Valencia,1,1,Regular Season,0,0,0,0,0,0,0,0,1,0,0
Spain - La Liga,2017/2018,9695,20:45:00.000,Barcelona,1,1,Regular Season,0,0,0,0,0,0,0,0,0,1,0
Spain - La Liga,2017/2018,9700,13:00:00.000,Barcelona,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9700,13:00:00.000,Celta Vigo,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9717,20:45:00.000,Barcelona,2,0,Regular Season,2,1,0,0,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9717,20:45:00.000,Villarreal,0,2,Regular Season,-2,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9726,20:45:00.000,RC Deportivo La Coruña,0,4,Regular Season,-4,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2017/2018,9726,20:45:00.000,Barcelona,4,0,Regular Season,4,1,2,0,2,0,0,2,2,0,0
Spain - La Liga,2017/2018,9736,13:00:00.000,Barcelona,3,0,Regular Season,3,1,0,0,0,0,1,0,2,0,0
Spain - La Liga,2017/2018,9736,13:00:00.000,Real Madrid,0,3,Regular Season,-3,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9742,16:15:00.000,Barcelona,3,0,Regular Season,3,1,2,0,2,0,1,1,2,0,0
Spain - La Liga,2017/2018,9742,16:15:00.000,Levante UD,0,3,Regular Season,-3,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2017/2018,9754,20:45:00.000,Barcelona,4,2,Regular Season,2,1,1,2,-1,0,0,0,4,0,0
Spain - La Liga,2017/2018,9754,20:45:00.000,Real Sociedad,2,4,Regular Season,-2,0,2,1,1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9765,20:45:00.000,Barcelona,5,0,Regular Season,5,1,0,0,0,0,0,1,4,0,0
Spain - La Liga,2017/2018,9765,20:45:00.000,Real Betis,0,5,Regular Season,-5,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9774,20:45:00.000,Deportivo Alavés,1,2,Regular Season,-1,0,1,0,1,0,0,0,1,0,0
Spain - La Liga,2017/2018,9774,20:45:00.000,Barcelona,2,1,Regular Season,1,1,0,1,-1,0,0,0,2,0,0
Spain - La Liga,2017/2018,9783,16:15:00.000,Barcelona,1,1,Regular Season,0,0,0,0,0,0,0,0,0,1,0
Spain - La Liga,2017/2018,9783,16:15:00.000,Espanyol,1,1,Regular Season,0,0,0,0,0,0,0,0,1,0,0
Spain - La Liga,2017/2018,9794,16:15:00.000,Barcelona,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9794,16:15:00.000,Getafe,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9799,16:15:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,0,0,1,1,0
Spain - La Liga,2017/2018,9799,16:15:00.000,Eibar,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9811,20:45:00.000,Girona,1,6,Regular Season,-5,0,1,4,-3,0,0,0,1,0,0
Spain - La Liga,2017/2018,9811,20:45:00.000,Barcelona,6,1,Regular Season,5,1,4,1,3,0,0,0,5,0,0
Spain - La Liga,2017/2018,9827,21:00:00.000,Barcelona,1,1,Regular Season,0,0,1,0,1,0,0,0,1,0,0
Spain - La Liga,2017/2018,9827,21:00:00.000,Las Palmas,1,1,Regular Season,0,0,0,1,-1,0,0,0,1,0,0
Spain - La Liga,2017/2018,9837,16:15:00.000,Atlético Madrid,0,1,Regular Season,-1,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9837,16:15:00.000,Barcelona,1,0,Regular Season,1,1,1,0,1,0,0,0,1,0,0
Spain - La Liga,2017/2018,9855,16:15:00.000,Barcelona,2,0,Regular Season,2,1,2,0,2,0,0,0,2,0,0
Spain - La Liga,2017/2018,9855,16:15:00.000,Athletic Club,0,2,Regular Season,-2,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2017/2018,9860,20:45:00.000,Sevilla,2,2,Regular Season,0,0,1,0,1,0,0,1,1,0,0
Spain - La Liga,2017/2018,9860,20:45:00.000,Barcelona,2,2,Regular Season,0,0,0,1,-1,0,0,1,1,0,0
Spain - La Liga,2017/2018,9870,20:45:00.000,Barcelona,3,1,Regular Season,2,1,2,0,2,0,0,2,1,0,0
Spain - La Liga,2017/2018,9870,20:45:00.000,Leganés,1,3,Regular Season,-2,0,0,2,-2,0,0,0,1,0,0
Spain - La Liga,2017/2018,9880,16:15:00.000,Barcelona,2,1,Regular Season,1,1,1,0,1,0,0,0,1,1,0
Spain - La Liga,2017/2018,9880,16:15:00.000,Valencia,1,2,Regular Season,-1,0,0,1,-1,0,0,1,0,0,0
Spain - La Liga,2017/2018,9889,21:00:00.000,Barcelona,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9889,21:00:00.000,Celta Vigo,2,2,Regular Season,0,0,1,1,0,0,0,0,1,1,0
Spain - La Liga,2017/2018,9912,20:45:00.000,RC Deportivo La Coruña,2,4,Regular Season,-2,0,1,2,-1,0,0,1,1,0,0
Spain - La Liga,2017/2018,9912,20:45:00.000,Barcelona,4,2,Regular Season,2,1,2,1,1,0,0,1,3,0,0
Spain - La Liga,2017/2018,9924,20:45:00.000,Real Madrid,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9924,20:45:00.000,Barcelona,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9928,20:00:00.000,Villarreal,1,5,Regular Season,-4,0,0,3,-3,0,0,0,1,0,0
Spain - La Liga,2017/2018,9928,20:00:00.000,Barcelona,5,1,Regular Season,4,1,3,0,3,0,1,1,4,0,0
Spain - La Liga,2017/2018,9948,20:45:00.000,Barcelona,1,0,Regular Season,1,1,0,0,0,0,0,0,1,0,0
Spain - La Liga,2017/2018,9948,20:45:00.000,Real Sociedad,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,15946,22:15:00.000,Barcelona,3,0,Regular Season,3,1,0,0,0,0,1,0,3,0,0
Spain - La Liga,2018/2019,15946,22:15:00.000,Deportivo Alavés,0,3,Regular Season,-3,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,15956,22:15:00.000,Real Valladolid,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,15956,22:15:00.000,Barcelona,1,0,Regular Season,1,1,0,0,0,0,0,0,1,0,0
Spain - La Liga,2018/2019,15973,18:30:00.000,Huesca,2,8,Regular Season,-6,0,2,2,0,0,0,0,1,0,0
Spain - La Liga,2018/2019,15973,18:30:00.000,Barcelona,8,2,Regular Season,6,1,2,2,0,0,1,1,5,1,0
Spain - La Liga,2018/2019,15978,16:15:00.000,Barcelona,2,1,Regular Season,1,1,0,1,-1,0,0,0,2,0,0
Spain - La Liga,2018/2019,15978,16:15:00.000,Real Sociedad,1,2,Regular Season,-1,0,1,0,1,0,0,0,0,1,0
Spain - La Liga,2018/2019,15986,20:45:00.000,Barcelona,2,2,Regular Season,0,0,1,1,0,0,0,0,1,1,0
Spain - La Liga,2018/2019,15986,20:45:00.000,Girona,2,2,Regular Season,0,0,1,1,0,0,0,0,2,0,0
Spain - La Liga,2018/2019,15998,20:00:00.000,Barcelona,1,2,Regular Season,-1,0,1,0,1,0,0,1,0,0,0
Spain - La Liga,2018/2019,15998,20:00:00.000,Leganés,2,1,Regular Season,1,1,0,1,-1,0,0,0,2,0,0
Spain - La Liga,2018/2019,16010,16:15:00.000,Barcelona,1,1,Regular Season,0,0,0,1,-1,0,0,0,1,0,0
Spain - La Liga,2018/2019,16010,16:15:00.000,Athletic Club,1,1,Regular Season,0,0,1,0,1,0,0,0,0,1,0
Spain - La Liga,2018/2019,16023,20:45:00.000,Valencia,1,1,Regular Season,0,0,1,1,0,0,0,0,0,1,0
Spain - La Liga,2018/2019,16023,20:45:00.000,Barcelona,1,1,Regular Season,0,0,1,1,0,0,0,0,1,0,0
Spain - La Liga,2018/2019,16029,20:45:00.000,Sevilla,2,4,Regular Season,-2,0,0,2,-2,0,1,0,1,0,0
Spain - La Liga,2018/2019,16029,20:45:00.000,Barcelona,4,2,Regular Season,2,1,2,0,2,0,0,1,3,0,0
Spain - La Liga,2018/2019,16056,16:15:00.000,Real Betis,4,3,Regular Season,1,1,2,0,2,0,0,0,3,1,0
